exit_datetime,window,side,entry_price,exit_price,pnl
03/29/1984,1,SHORT,76.5,76.53125,-31.25
04/03/1984,1,LONG,76.59375,75.84375,-750.0
09/06/1984,6,SHORT,75.59375,75.09375,500.0
09/17/1984,6,LONG,75.875,77.0,1125.0
02/26/1985,11,SHORT,80.5625,79.8125,750.0
10/04/1985,18,LONG,86.25,85.40625,-843.75
01/15/1986,21,SHORT,90.5625,90.96875,-406.25
04/29/1986,24,SHORT,101.25,102.0625,-812.5
06/26/1986,26,LONG,100.59375,100.25,-343.75
07/29/1986,27,SHORT,100.6875,101.125,-437.5
08/22/1986,28,LONG,104.34375,103.9375,-406.25
09/02/1986,28,LONG,105.0625,104.0,-1062.5
09/04/1986,28,SHORT,103.59375,102.875,718.75
11/07/1986,30,LONG,102.21875,102.1875,-31.25
12/02/1986,31,LONG,104.375,103.0,-1375.0
01/05/1987,32,SHORT,103.78125,104.375,-593.75
01/14/1987,32,LONG,104.59375,104.09375,-500.0
02/19/1987,33,SHORT,103.84375,104.34375,-500.0
04/14/1987,35,SHORT,101.21875,98.625,2593.75
05/26/1987,36,SHORT,93.875,95.34375,-1468.75
06/24/1987,37,LONG,97.46875,96.71875,-750.0
11/06/1987,41,LONG,95.0,93.9375,-1062.5
07/25/1988,49,SHORT,92.65625,92.71875,-62.5
08/19/1988,50,SHORT,92.0625,91.5625,500.0
09/20/1988,51,LONG,94.34375,93.375,-968.75
09/30/1988,51,SHORT,93.3125,93.84375,-531.25
11/30/1988,53,SHORT,93.5625,93.375,187.5
12/02/1988,53,LONG,93.6875,92.75,-937.5
01/26/1989,55,LONG,94.03125,93.28125,-750.0
03/23/1989,57,SHORT,91.15625,91.34375,-187.5
05/26/1989,59,LONG,94.34375,95.21875,875.0
08/06/1990,74,LONG,97.5,96.4375,-1062.5
08/15/1990,74,SHORT,96.34375,95.90625,437.5
09/17/1990,75,LONG,94.59375,93.9375,-656.25
10/09/1990,76,LONG,94.34375,94.65625,312.5
04/10/1991,82,LONG,98.4375,98.5,62.5
04/30/1991,83,SHORT,98.4375,99.34375,-906.25
08/23/1991,87,LONG,101.1875,100.21875,-968.75
08/29/1991,87,SHORT,100.125,101.03125,-906.25
08/30/1991,87,LONG,101.28125,100.15625,-1125.0
05/21/1992,96,LONG,104.1875,103.625,-562.5
09/15/1992,100,LONG,109.3125,108.8125,-500.0
01/07/1994,116,SHORT,112.125,113.5625,-1437.5
02/04/1994,117,LONG,114.78125,113.0,-1781.25
10/03/1997,162,LONG,110.78125,110.53125,-250.0
10/28/1998,175,SHORT,119.65625,121.0,-1343.75
11/04/1998,175,LONG,121.09375,119.25,-1843.75
12/30/1998,177,SHORT,119.8125,119.0625,750.0
02/01/1999,178,LONG,119.15625,118.59375,-562.5
04/06/1999,180,SHORT,114.59375,115.5,-906.25
05/24/1999,182,SHORT,112.78125,113.28125,-500.0
05/27/1999,182,LONG,113.3125,112.21875,-1093.75
06/22/1999,183,LONG,110.78125,110.03125,-750.0
06/30/1999,183,SHORT,109.65625,110.96875,-1312.5
07/29/1999,184,LONG,112.25,110.375,-1875.0
08/30/1999,185,LONG,110.125,110.03125,-93.75
09/17/1999,186,SHORT,109.375,110.421875,-1046.875
09/29/1999,186,LONG,110.53125,110.015625,-515.625
10/28/1999,187,SHORT,108.75,108.890625,-140.625
11/18/1999,188,LONG,110.75,109.65625,-1093.75
12/14/1999,189,LONG,98.25,97.640625,-609.375
01/14/2000,190,SHORT,94.71875,95.40625,-687.5
01/25/2000,190,SHORT,94.265625,94.65625,-390.625
02/17/2000,191,SHORT,94.5625,95.09375,-531.25
02/28/2000,191,LONG,95.375,95.40625,31.25
03/24/2000,192,LONG,96.109375,96.859375,750.0
04/14/2000,193,SHORT,98.15625,98.546875,-390.625
04/24/2000,193,SHORT,97.515625,98.5,-984.375
05/10/2000,194,SHORT,95.1875,95.921875,-734.375
05/22/2000,194,SHORT,95.109375,95.828125,-718.75
06/22/2000,195,LONG,98.015625,97.703125,-312.5
07/14/2000,196,LONG,99.125,98.265625,-859.375
