window,is_start,is_end,oos_start,oos_end,chn_len,stp_pct,is_score,is_net_profit,is_max_drawdown,is_num_trades
0,01/03/1983,01/30/1984,01/31/1984,03/02/1984,500,0.01,0.95,3562.5,3750.0,27
1,02/02/1983,03/02/1984,03/02/1984,04/04/1984,500,0.01,0.9333333333333333,3500.0,3750.0,26
2,03/08/1983,04/04/1984,04/04/1984,05/08/1984,1500,0.01,0.7948717948717948,2906.25,3656.25,14
3,04/11/1983,05/08/1984,05/08/1984,06/08/1984,1500,0.01,0.8888888888888888,3250.0,3656.25,14
4,05/12/1983,06/08/1984,06/11/1984,07/12/1984,1500,0.01,1.0341880341880343,3781.25,3656.25,15
5,06/14/1983,07/12/1984,07/12/1984,08/14/1984,1500,0.01,0.5726495726495726,2093.75,3656.25,14
6,07/18/1983,08/14/1984,08/14/1984,09/17/1984,500,0.01,0.7416666666666667,2781.25,3750.0,29
7,08/18/1983,09/17/1984,09/17/1984,10/17/1984,1000,0.02,1.065040650406504,4093.75,3843.75,12
8,09/21/1983,10/17/1984,10/18/1984,11/19/1984,1000,0.02,1.1056910569105691,4250.0,3843.75,12
9,10/21/1983,11/19/1984,11/19/1984,12/21/1984,1000,0.01,1.5730337078651686,4375.0,2781.25,20
10,11/23/1983,12/21/1984,12/21/1984,01/25/1985,1000,0.01,2.247191011235955,6250.0,2781.25,19
11,12/28/1983,01/25/1985,01/25/1985,02/27/1985,1000,0.01,2.662921348314607,7406.25,2781.25,18
12,01/31/1984,02/27/1985,02/28/1985,04/01/1985,1000,0.01,2.191011235955056,6093.75,2781.25,21
13,03/02/1984,04/01/1985,04/01/1985,05/03/1985,1000,0.01,1.6944444444444444,3812.5,2250.0,22
14,04/04/1984,05/03/1985,05/03/1985,06/06/1985,1000,0.01,2.861111111111111,6437.5,2250.0,21
15,05/08/1984,06/06/1985,06/06/1985,07/09/1985,1500,0.02,3.5977011494252875,9781.25,2718.75,8
16,06/11/1984,07/09/1985,07/10/1985,08/09/1985,1000,0.01,2.7464788732394365,6093.75,2218.75,22
17,07/12/1984,08/09/1985,08/09/1985,09/12/1985,1000,0.01,2.816901408450704,6250.0,2218.75,20
18,08/14/1984,09/12/1985,09/12/1985,10/15/1985,1000,0.01,2.9014084507042255,6437.5,2218.75,20
19,09/17/1984,10/15/1985,10/15/1985,11/14/1985,1000,0.01,2.5301204819277108,6562.5,2593.75,19
20,10/18/1984,11/14/1985,11/15/1985,12/18/1985,1000,0.01,2.746987951807229,7125.0,2593.75,18
21,11/19/1984,12/18/1985,12/18/1985,01/22/1986,1000,0.01,3.0240963855421685,7843.75,2593.75,18
22,12/21/1984,01/22/1986,01/22/1986,02/25/1986,1000,0.01,2.927710843373494,7593.75,2593.75,21
23,01/25/1985,02/25/1986,02/25/1986,03/27/1986,1000,0.01,3.7590361445783134,9750.0,2593.75,20
24,02/28/1985,03/27/1986,03/31/1986,04/30/1986,1000,0.01,3.4444444444444446,9687.5,2812.5,20
25,04/01/1985,04/30/1986,04/30/1986,06/03/1986,1000,0.01,2.922222222222222,8218.75,2812.5,21
26,05/03/1985,06/03/1986,06/03/1986,07/07/1986,1000,0.01,2.603448275862069,9437.5,3625.0,21
27,06/06/1985,07/07/1986,07/07/1986,08/06/1986,1000,0.01,1.6810344827586208,6093.75,3625.0,22
28,07/10/1985,08/06/1986,08/07/1986,09/09/1986,500,0.01,1.0802469135802468,5468.75,5062.5,32
29,08/09/1985,09/09/1986,09/09/1986,10/10/1986,500,0.02,1.1486486486486487,7968.75,6937.5,20
30,09/12/1985,10/10/1986,10/10/1986,11/12/1986,500,0.01,1.4245810055865922,7968.75,5593.75,32
31,10/15/1985,11/12/1986,11/12/1986,12/15/1986,500,0.01,1.318435754189944,7375.0,5593.75,32
32,11/15/1985,12/15/1986,12/16/1986,01/19/1987,500,0.01,1.0670391061452513,5968.75,5593.75,32
33,12/18/1985,01/19/1987,01/19/1987,02/20/1987,500,0.01,0.32275132275132273,1906.25,5906.25,33
34,01/22/1986,02/20/1987,02/20/1987,03/25/1987,1000,0.02,0.4925373134328358,3093.75,6281.25,12
35,02/25/1986,03/25/1987,03/25/1987,04/27/1987,500,0.02,-0.26953125,-2156.25,8000.0,21
36,03/31/1986,04/27/1987,04/28/1987,05/29/1987,1000,0.02,0.28217821782178215,1781.25,6312.5,12
37,04/30/1986,05/29/1987,05/29/1987,07/01/1987,1000,0.01,0.2510822510822511,1812.5,7218.75,20
38,06/03/1986,07/01/1987,07/01/1987,08/04/1987,1000,0.01,0.28717948717948716,1750.0,6093.75,19
39,07/07/1986,08/04/1987,08/04/1987,09/03/1987,1500,0.01,0.8160919540229885,4437.5,5437.5,12
40,08/07/1986,09/03/1987,09/04/1987,10/07/1987,1500,0.01,1.40625,7031.25,5000.0,11
41,09/09/1986,10/07/1987,10/07/1987,11/09/1987,1500,0.01,1.4661654135338347,6093.75,4156.25,12
42,10/10/1986,11/09/1987,11/09/1987,12/11/1987,1500,0.01,2.026315789473684,7218.75,3562.5,16
43,11/12/1986,12/11/1987,12/11/1987,01/14/1988,1500,0.01,2.3884297520661155,9031.25,3781.25,15
44,12/16/1986,01/14/1988,01/15/1988,02/17/1988,1500,0.01,1.9173553719008265,7250.0,3781.25,17
45,01/19/1987,02/17/1988,02/17/1988,03/21/1988,1500,0.01,2.8852459016393444,11000.0,3812.5,17
46,02/20/1987,03/21/1988,03/21/1988,04/22/1988,1500,0.01,3.19672131147541,12187.5,3812.5,17
47,03/25/1987,04/22/1988,04/22/1988,05/24/1988,500,0.01,2.12,9937.5,4687.5,29
